Journal,ISSN,CN,Publisher,Frequency,Language,Founded,Discipline,SubDiscipline,IF_Composite,IF_Comprehensive,CSCD_Core,CSCD_Extended,PKU_Core,CSSCI,CSSCI_Extended,AMI_Authority,AMI_Core,AMI_Extended,AMI_Archive,SCI_Indexed,EI_Indexed,CSTPCD,Index_Labels
原子与分子物理学报,1000-0364,51-1199/O4,四川大学;四川省物理学会,双月,中文,1986.0,基础科学,物理学,0.462,0.341,False,False,True,False,False,False,False,False,False,False,False,False,北大核心
陕西地质,1001-6996,61-1150/P,陕西地矿集团有限公司,半年,中文,1983.0,基础科学,地质学,0.509,0.382,,,,,,,,,,,,,
海洋石油,1008-2336,31-1760/TE,中国石油化工股份有限公司上海海洋油气分公司,季刊,中文,1981.0,工程科技I;基础科学,地质学;石油天然气工业,0.51,0.49,False,False,False,False,False,False,False,False,False,False,False,False,
科技智囊,1006-3676,11-3538/G3,北京市科学技术研究院,月刊,中文,1995.0,基础科学,基础科学综合,0.513,0.272,False,False,False,False,False,False,False,False,True,False,False,False,
江苏师范大学学报(自然科学版),2095-4298,32-1834/N,江苏师范大学,季刊,中文,1983.0,基础科学,基础科学综合,0.513,0.361,False,False,False,False,False,False,False,False,False,False,False,False,
安徽地质,1005-6157,34-1111/P,安徽省地质学会,季刊,中文,1991.0,基础科学,地质学,0.516,0.425,,,,,,,,,,,,,
Asian Herpetological Research,2095-0357,51-1735/Q,中国科学院成都生物研究所;中国科技出版传媒股份有限公司,季刊,英文,2010.0,基础科学,生物学,0.521,0.411,True,False,False,False,False,False,False,False,False,True,False,False,SCI; CSCD
兰州文理学院学报(自然科学版),2095-6991,62-1212/N,兰州文理学院,双月,中文,1985.0,基础科学,基础科学综合,0.523,0.26,False,False,False,False,False,False,False,False,False,False,False,False,
海南热带海洋学院学报,2096-3122,46-1085/G4,海南热带海洋学院,双月,中文,1994.0,基础科学,基础科学综合,0.523,0.394,False,False,False,False,False,False,False,False,True,False,False,False,
Research in Astronomy and Astrophysics,1674-4527,11-5721/P,中国科学院国家天文台;中国天文学会,月刊,英文,1981.0,基础科学,天文学,0.525,0.462,True,False,False,False,False,False,False,False,False,True,False,False,SCI; CSCD
